1,artificial_intelligence,support_cours,2023-08-12,4,Support de cours insuffisant
2,web_development,methodes_pedagogiques,2023-11-01,5,Methodes pedagogiques a revoir
3,cloud_computing,formateur,2023-06-23,6,Formateur competent
4,data_science,contenu_cours,2023-10-08,4,Contenu moyen et manque de profondeur
5,cyber_security,environnement_apprentissage,2023-07-17,5,Environnement d apprentissage peu stimulant
6,data_engineering,communication,2023-09-29,4,Communication limitee
7,artificial_intelligence,axe_amelioration,2023-12-03,5,Necessite des ameliorations significatives
8,web_development,contenu_cours,2023-05-14,4,Cours trop theorique et manque de pratique
9,cloud_computing,support_cours,2023-08-25,5,Ressources complementaires limitees
10,data_science,methodes_pedagogiques,2023-11-18,4,Methodes pedagogiques peu adaptees
11,cyber_security,formateur,2023-07-02,5,Formateur manquant de dynamisme
12,data_engineering,environnement_apprentissage,2023-10-15,4,Environnement d apprentissage bruyant
13,artificial_intelligence,communication,2023-06-06,5,Communication peu claire
14,web_development,axe_amelioration,2023-09-22,4,Necessite une refonte du programme
15,cloud_computing,contenu_cours,2023-11-11,5,Cours corrects mais manque de pratique
16,data_science,support_cours,2023-05-28,4,Support de cours incomplet
17,cyber_security,methodes_pedagogiques,2023-08-19,5,Methodes pedagogiques ennuyeuses
18,data_engineering,formateur,2023-12-07,4,Formateur peu disponible
19,artificial_intelligence,environnement_apprentissage,2023-07-10,5,Environnement d apprentissage inconfortable
20,web_development,communication,2023-10-01,4,Communication inefficace
21,cloud_computing,axe_amelioration,2023-06-13,5,Necessite plus de pratique
22,data_science,contenu_cours,2023-09-04,4,Cours trop dense
23,cyber_security,support_cours,2023-11-25,5,Ressources complementaires de mauvaise qualite
24,data_engineering,methodes_pedagogiques,2023-05-20,4,Methodes pedagogiques inadaptees
25,artificial_intelligence,formateur,2023-08-05,5,Formateur peu pedagogue
26,web_development,environnement_apprentissage,2023-12-21,4,Environnement d apprentissage demotivant
27,cloud_computing,communication,2023-06-30,6,Bonne communication
28,data_science,axe_amelioration,2023-10-22,4,Necessite plus de defis stimulants
29,cyber_security,contenu_cours,2023-07-26,5,Contenu obsolete
30,data_engineering,support_cours,2023-09-11,4,Support de cours confus
31,artificial_intelligence,methodes_pedagogiques,2023-11-04,5,Methodes pedagogiques a revoir
32,web_development,formateur,2023-05-07,4,Formateur peu experimente
33,cloud_computing,environnement_apprentissage,2023-08-30,5,Environnement d apprentissage peu stimulant
34,data_science,communication,2023-12-17,3,Communication limitee
35,cyber_security,axe_amelioration,2023-06-23,5,Necessite des ameliorations significatives
36,data_engineering,contenu_cours,2023-10-08,4,Contenu moyen et manque de profondeur
37,artificial_intelligence,support_cours,2023-07-17,5,Ressources complementaires limitees
38,web_development,methodes_pedagogiques,2023-09-29,4,Methodes pedagogiques peu adaptees
39,cloud_computing,formateur,2023-12-03,7,Formateur tres competent
40,data_science,environnement_apprentissage,2023-05-14,4,Environnement d apprentissage bruyant
41,cyber_security,communication,2023-08-25,5,Communication peu claire
42,data_engineering,axe_amelioration,2023-11-18,4,Necessite une refonte du programme
43,artificial_intelligence,contenu_cours,2023-07-02,5,Contenu peu innovant
44,web_development,support_cours,2023-10-15,4,Support de cours incomplet
45,cloud_computing,methodes_pedagogiques,2023-06-06,5,Methodes pedagogiques correctes mais manque de pratique
46,data_science,formateur,2023-09-22,4,Formateur peu disponible
47,cyber_security,environnement_apprentissage,2023-11-11,5,Environnement d apprentissage inconfortable
48,data_engineering,communication,2023-05-28,4,Communication inefficace
49,data_engineering,support_cours,2023-09-25,5,Moyen
50,data_engineering,contenu_cours,2023-03-11,5,Manque de pratique
